PR_Number,Author,Score,Dead_Code_Count,Logic_Clones,Zombie_Syms,Zombie_Deps,Antipatterns,Comment_Violations,Timestamp
497330,r-ryantm,70,0,0,0,,,,2026-03-06T19:56:05Z
497128,fgaz,20,0,0,0,,,,2026-03-06T19:56:11Z
497127,r-ryantm,20,0,0,0,,,,2026-03-06T19:56:11Z
497126,app/nixpkgs-ci,70,0,0,0,,,,2026-03-06T19:56:12Z
497125,xaverdh,20,0,0,0,,,,2026-03-06T19:56:13Z
497124,l0b0,20,0,0,0,,,,2026-03-06T19:56:13Z
497123,infinisil,70,0,0,0,,,,2026-03-06T19:56:14Z
497122,schembriaiden,20,0,0,0,,,,2026-03-06T19:56:15Z
497121,rhelmot,70,0,0,0,,,,2026-03-06T19:56:16Z
497120,wegank,20,0,0,0,,,,2026-03-06T19:56:16Z
497119,asppsa,20,0,0,0,,,,2026-03-06T19:56:17Z
497117,r-ryantm,70,0,0,0,,,,2026-03-06T19:56:18Z
497116,r-ryantm,70,0,0,0,,,,2026-03-06T19:56:19Z
497115,r-ryantm,70,0,0,0,,,,2026-03-06T19:56:20Z
497114,thegu5,20,0,0,0,,,,2026-03-06T19:56:20Z
497113,alexfmpe,20,0,0,0,,,,2026-03-06T19:56:21Z
497112,DaVinci42,20,0,0,0,,,,2026-03-06T19:56:22Z
497111,r-ryantm,70,0,0,0,,,,2026-03-06T19:56:23Z
497109,r-ryantm,70,0,0,0,,,,2026-03-06T19:56:23Z
497108,r-ryantm,70,0,0,0,,,,2026-03-06T19:56:24Z
497107,leonklingele,20,0,0,0,,,,2026-03-06T19:56:25Z
497106,ccicnce113424,70,0,0,0,,,,2026-03-06T19:56:26Z
497105,r-ryantm,20,0,0,0,,,,2026-03-06T19:56:27Z
497104,leonklingele,20,0,0,0,,,,2026-03-06T19:56:27Z
497103,dotlambda,20,0,0,0,,,,2026-03-06T19:56:28Z
497102,r-ryantm,70,0,0,0,,,,2026-03-06T19:56:29Z
497101,sarahec,20,0,0,0,,,,2026-03-06T19:56:30Z
